Username,Time_stamp,Gate,Door,Window1,Alerts
user,1713801737075,1,1,0,No Alerts
user,1713810850358,1,0,0,No Alerts
user,1713810851360,1,1,0,No Alerts
user,1713810853337,0,1,0,No Alerts
user,1713811108782,1,1,0,No Alerts
user,1713811163597,1,1,1,No Alerts
user,1713791391684,1,0,1,No Alerts
user,1714113175419,1,1,1,No Alerts
user,1714113176067,1,1,0,No Alerts
user,1714113176763,0,1,0,No Alerts
user,1714113177306,0,0,0,No Alerts
user,1714113177754,0,0,1,No Alerts
AdminAlert,1171000,0,0,0,0
AdminAlert,8200000,0,0,0,2
AdminAlert,3175000,0,0,0,0
AdminAlert,9504000,0,0,0,2
AdminAlert,52867000,0,0,0,2
AdminAlert,74779000,0,0,0,2
AdminAlert,125782000,0,0,0,2
